"sampleTime","1","2","3","4","5","6","7","8","9","10","11","12"
"1","1","0","1","1","1","-1","-1","0","0","0","0","0"
"2","2","1","2","2","2","-1","-1","0","0","0","0","0"
"3","3","2","3","3","3","-1","-1","0","0","0","-1","0"
"4","4","3","4","4","4","-1","0","0","1","0","-1","0"
"5","4","4","4","4","4","-1","0","0","2","0","-1","0"
"6","4","4","4","4","4","-1","0","-1","3","1","0","0"
"7","3","4","3","3","3","-1","1","-1","4","2","0","0"
"8","2","3","2","2","2","-1","2","-1","4","3","0","0"
"9","1","2","1","1","1","-1","3","-1","4","4","0","0"
"10","0","1","0","0","0","0","4","-1","3","4","1","0"
"11","0","0","0","0","0","0","4","-1","2","4","2","0"
"12","0","0","0","0","0","0","4","0","1","3","3","0"
"13","0","0","0","0","0","0","3","0","0","2","4","0"
"14","0","0","0","0","0","0","2","0","0","1","4","0"
"15","0","0","0","0","0","0","1","0","0","0","4","0"
"16","0","0","0","0","0","0","0","0","0","0","3","0"
"17","0","0","0","0","0","0","0","0","0","0","2","0"
"18","0","0","0","0","0","0","0","0","0","0","1","0"
"19","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0","0","0","0","0","0","0","0","1","0","0","1"
"21","0","0","-1","0","-1","0","0","0","2","-1","0","2"
"22","0","0","-1","0","-1","0","0","0","3","-1","0","3"
"23","0","0","-1","0","-1","0","0","1","4","-1","1","4"
"24","0","0","-1","0","-1","1","0","2","4","-1","2","4"
"25","0","0","-1","0","-1","2","0","3","4","-1","3","4"
"26","0","0","-1","0","-1","3","0","4","3","-1","4","3"
"27","1","0","0","0","-1","4","0","4","2","-1","4","2"
"28","2","0","0","1","-1","4","0","4","1","-1","4","1"
"29","3","0","0","2","-1","4","1","3","0","-1","3","0"
"30","4","0","0","3","-1","3","2","2","0","-1","2","0"
"31","4","0","0","4","-1","2","3","1","0","-1","1","0"
"32","4","0","0","4","-1","1","4","0","0","-1","0","0"
"33","3","0","0","4","0","0","4","0","0","0","0","0"
"34","2","0","0","3","0","0","4","0","0","0","0","0"
"35","1","0","0","2","0","0","3","0","0","0","0","0"
"36","0","0","0","1","0","0","2","0","0","0","0","0"
"37","0","0","0","0","0","0","1","0","0","0","0","0"
"38","0","0","0","0","0","0","0","0","0","0","0","0"
"39","0","0","0","0","0","0","0","0","1","0","0","1"
"40","0","1","0","0","0","0","0","0","2","1","0","2"
"41","0","2","0","0","0","0","0","0","3","2","0","3"
"42","0","3","0","0","0","0","0","0","4","3","0","4"
"43","0","4","0","0","0","0","0","0","4","4","0","4"
"44","0","4","0","0","0","1","0","0","4","4","0","4"
"45","0","4","0","0","0","2","0","0","3","4","0","3"
"46","0","3","0","0","0","3","0","0","2","3","0","2"
"47","0","2","0","0","0","4","0","0","1","2","0","1"
"48","-1","1","0","0","0","4","-1","0","0","1","0","0"
"49","-1","0","0","0","0","4","-1","0","0","0","0","0"
"50","-1","0","0","0","0","3","-1","0","0","0","0","0"
"51","-1","0","0","1","1","2","-1","0","0","0","0","0"
"52","-1","0","0","2","2","1","-1","0","0","0","0","0"
"53","-1","0","0","3","3","0","-1","0","0","1","0","0"
"54","-1","0","0","4","4","0","-1","1","0","2","0","0"
"55","-1","0","0","4","4","0","-1","2","0","3","0","0"
"56","-1","0","0","4","4","0","-1","3","0","4","-1","1"
"57","0","0","1","3","3","0","0","4","0","4","-1","2"
"58","0","0","2","2","2","0","0","4","0","4","-1","3"
"59","0","-1","3","1","1","0","0","4","0","3","-1","4"
"60","0","-1","4","0","0","0","0","3","0","2","-1","4"
"61","0","-1","4","0","0","0","0","2","0","1","-1","4"
"62","0","-1","4","0","0","0","0","1","1","0","-1","3"
"63","0","-1","3","0","0","0","0","0","2","0","-1","2"
"64","0","-1","2","0","0","0","1","0","3","0","-1","1"
"65","0","0","1","0","0","0","2","0","4","0","-1","0"
"66","0","0","0","-1","0","0","3","0","4","0","-1","0"
"67","0","0","0","-1","0","0","4","0","4","0","-1","0"
"68","0","0","0","-1","0","0","4","0","3","0","-1","0"
"69","0","0","0","-1","0","0","4","0","2","0","-1","0"
"70","0","0","0","-1","0","0","3","0","1","1","-1","-1"
"71","0","0","0","-1","0","0","2","0","0","2","0","-1"
"72","1","0","0","0","0","0","1","0","0","3","0","-1"
"73","2","0","0","0","0","0","0","0","0","4","0","-1"
"74","3","0","-1","0","0","0","0","0","0","4","0","-1"
"75","4","0","-1","0","0","0","0","0","0","4","0","-1"
"76","4","0","-1","0","0","0","0","0","0","3","0","-1"
"77","4","0","-1","0","0","0","0","0","0","2","0","-1"
"78","3","0","-1","0","-1","0","0","0","0","1","0","-1"
"79","2","0","-1","0","-1","0","0","0","0","0","0","-1"
"80","1","0","0","0","-1","0","0","0","-1","0","0","-1"
"81","0","0","0","0","-1","0","0","0","-1","0","0","-1"
"82","0","0","0","0","-1","0","0","1","-1","0","0","0"
"83","0","1","0","0","-1","0","0","2","-1","0","0","0"
"84","0","2","0","0","0","1","0","3","-1","0","0","0"
"85","1","3","0","0","1","2","0","4","-1","0","1","0"
"86","2","4","1","0","2","3","0","4","-1","0","2","0"
"87","3","4","2","0","3","4","0","4","-1","0","3","0"
"88","4","4","3","0","4","4","0","3","-1","0","4","0"
"89","4","3","4","0","4","4","0","2","0","-1","4","0"
"90","4","2","4","0","4","3","0","1","0","-1","4","0"
"91","3","1","4","0","3","2","0","0","0","-1","3","0"
"92","2","0","3","0","2","1","0","0","0","-1","2","0"
"93","1","0","2","0","1","0","0","0","0","-1","1","0"
"94","0","0","1","0","0","0","0","0","0","-1","0","0"
"95","0","0","0","0","0","0","0","0","0","0","0","0"
"96","0","0","0","0","0","0","0","0","0","0","0","0"
