"sampleTime","1","2","3","4","5","6","7","8","9","10"
"0","0","2","1","4","4","2","2","0","3","0"
"1","0","2","1","2","4","2","2","0","3","0"
"2","0","1","1","2","1","2","2","0","2","0"
"3","0","0","2","2","2","0","0","0","2","0"
"4","0","0","3","1","1","0","0","0","2","0"
"5","0","1","3","1","1","0","0","0","2","0"
"6","0","2","4","2","1","0","0","2","3","0"
"7","0","0","4","2","1","0","0","2","3","0"
"8","0","0","4","2","1","0","0","2","3","0"
"9","0","0","4","2","3","1","0","2","1","0"
"10","0","0","3","2","4","1","0","2","1","0"
"11","0","2","3","2","4","1","0","2","1","0"
"12","0","2","3","2","5","2","0","2","2","2"
"13","0","1","3","1","5","2","0","2","2","2"
"14","0","1","3","1","5","2","0","2","2","2"
"15","0","0","3","1","5","2","0","2","2","2"
"16","0","0","2","1","5","2","0","3","2","2"
"17","0","0","1","0","5","1","0","3","2","2"
"18","0","0","1","0","5","1","0","4","2","2"
"19","0","0","1","1","4","0","0","4","2","2"
"20","0","0","1","1","4","1","0","4","2","2"
"21","0","0","1","1","4","1","0","2","2","2"
"22","1","0","0","1","4","1","0","2","4","2"
"23","2","0","0","1","4","2","0","1","4","0"
"24","1","0","0","1","4","2","0","1","3","0"
"25","1","0","0","2","4","2","0","0","3","0"
"26","1","0","0","2","4","2","0","0","3","0"
"27","3","0","0","1","3","2","0","0","4","0"
"28","3","0","0","1","3","2","0","0","3","0"
"29","1","0","0","1","4","2","0","2","3","0"
"30","1","0","1","1","5","2","0","3","3","0"
"31","1","0","1","1","5","2","0","3","3","0"
"32","0","0","1","1","2","2","1","3","4","0"
"33","2","0","1","1","2","3","1","3","4","0"
"34","1","0","1","1","2","2","1","2","4","0"
"35","1","0","1","1","1","2","1","2","4","0"
"36","1","0","2","1","1","2","0","2","4","0"
"37","1","0","2","1","1","2","0","2","4","0"
"38","1","0","2","1","1","2","0","1","4","0"
"39","1","0","2","1","1","3","0","1","3","0"
"40","0","1","2","1","1","3","0","1","3","0"
"41","0","1","3","1","1","3","0","3","3","0"
"42","0","1","3","1","1","3","0","3","3","0"
"43","0","1","4","1","1","3","1","3","3","0"
"44","0","1","4","1","1","3","1","3","2","0"
"45","0","2","4","1","1","2","1","3","2","0"
"46","0","2","4","1","1","2","1","3","2","0"
"47","1","2","4","4","1","3","1","3","2","0"
"48","1","1","4","4","1","3","1","2","3","0"
"49","1","1","4","4","1","3","1","2","4","1"
"50","1","1","5","3","2","3","1","3","4","1"
"51","1","1","5","4","2","2","0","2","4","1"
"52","1","1","5","4","1","2","2","2","4","1"
"53","1","1","5","5","1","4","4","2","4","1"
"54","1","1","5","5","1","4","3","2","4","1"
"55","1","1","5","5","1","5","5","3","4","1"
"56","1","1","5","5","2","5","5","3","5","1"
"57","0","1","5","5","3","5","5","3","5","2"
"58","0","1","5","5","3","5","5","3","4","1"
"59","0","1","5","4","4","5","5","3","3","1"
"60","0","1","5","3","4","5","4","3","3","4"
"61","0","1","5","4","4","5","4","3","3","4"
"62","0","2","5","4","4","5","4","3","4","5"
"63","0","2","4","4","4","5","4","3","4","5"
"64","0","2","4","4","0","5","3","3","4","4"
"65","0","2","4","4","0","4","3","3","4","4"
"66","0","2","3","3","0","0","3","3","4","4"
"67","2","2","3","3","0","0","1","3","4","4"
"68","2","2","3","2","0","0","1","3","4","4"
"69","2","3","3","1","0","0","1","3","4","4"
"70","1","2","3","1","0","0","0","3","4","3"
"71","1","2","3","2","0","0","0","3","4","4"
"72","2","2","3","4","0","0","0","3","4","4"
"73","2","2","3","4","0","0","0","4","4","3"
"74","3","1","3","4","0","0","0","4","4","3"
"75","3","1","3","4","3","0","2","4","4","3"
"76","4","2","3","4","4","0","2","4","4","3"
"77","4","2","3","4","4","0","2","4","4","4"
"78","3","2","3","4","4","0","2","4","4","4"
"79","4","2","3","4","4","0","2","4","4","4"
"80","4","3","3","3","3","0","2","4","4","4"
"81","2","3","3","3","4","0","2","5","4","3"
"82","2","4","3","3","4","0","2","5","3","3"
"83","2","5","3","2","4","0","2","5","2","2"
"84","2","5","2","1","4","0","2","5","2","1"
"85","2","4","2","1","4","0","2","5","2","1"
"86","2","4","2","1","4","0","2","3","2","1"
"87","2","5","2","0","4","0","2","3","2","1"
"88","2","2","2","0","4","0","2","3","1","1"
"89","3","1","2","0","4","0","2","3","1","1"
"90","3","0","1","0","2","0","1","3","0","1"
"91","3","0","1","0","1","0","2","2","0","1"
"92","3","0","1","0","1","0","2","1","0","3"
"93","3","0","1","0","1","0","2","1","0","3"
"94","2","0","1","0","1","0","1","2","0","3"
"95","2","0","1","0","1","0","1","2","0","3"
