"timeBlock","Jan","Feb","Mar","Apr","May","Jun","July","Aug","Sep","Oct","Nov","Dcb"
"0","80.6","80.6","73.4","73.4","77","73.4","77","77","77","80.6","77","80.6"
"1","80.6","80.6","73.4","73.4","77","73.4","77","77","77","80.6","77","80.6"
"2","80.6","80.6","73.4","73.4","77","73.4","77","77","77","80.6","77","80.6"
"3","80.6","80.6","73.4","73.4","77","73.4","77","77","77","80.6","77","80.6"
"4","80.6","80.6","73.4","73.4","77","73.4","77","77","77","80.6","77","80.6"
"5","80.6","80.6","73.4","73.4","77","73.4","77","77","77","80.6","77","80.6"
"6","80.6","80.6","73.4","73.4","77","73.4","77","77","77","80.6","77","80.6"
"7","80.6","80.6","73.4","73.4","77","73.4","77","77","77","80.6","77","80.6"
"8","80.6","80.6","73.4","73.4","77","73.4","77","77","77","80.6","77","80.6"
"9","80.6","80.6","73.4","73.4","77","73.4","77","77","77","80.6","77","80.6"
"10","80.6","80.6","73.4","73.4","77","73.4","77","77","77","80.6","77","80.6"
"11","80.6","80.6","73.4","73.4","77","73.4","77","77","77","80.6","77","80.6"
"12","80.6","80.6","73.4","73.4","77","73.4","77","77","77","80.6","77","80.6"
"13","80.6","80.6","73.4","73.4","77","73.4","77","77","77","80.6","77","80.6"
"14","80.6","80.6","73.4","73.4","77","73.4","77","77","77","80.6","77","80.6"
"15","80.6","80.6","73.4","73.4","77","73.4","77","77","77","80.6","77","80.6"
"16","80.6","80.6","73.4","73.4","77","73.4","77","73.4","77","80.6","77","80.6"
"17","80.6","80.6","73.4","73.4","77","73.4","77","73.4","77","80.6","77","80.6"
"18","80.6","80.6","73.4","73.4","73.4","73.4","77","73.4","77","80.6","77","80.6"
"19","80.6","80.6","73.4","73.4","73.4","73.4","77","73.4","77","80.6","77","80.6"
"20","80.6","80.6","73.4","73.4","73.4","73.4","77","73.4","80.6","80.6","80.6","80.6"
"21","80.6","80.6","73.4","73.4","73.4","73.4","77","73.4","80.6","80.6","80.6","80.6"
"22","80.6","80.6","73.4","73.4","73.4","73.4","77","73.4","80.6","80.6","80.6","80.6"
"23","80.6","80.6","73.4","73.4","73.4","73.4","77","73.4","80.6","80.6","80.6","80.6"
"24","80.6","80.6","73.4","73.4","73.4","73.4","77","73.4","80.6","80.6","80.6","80.6"
"25","80.6","80.6","73.4","73.4","73.4","73.4","77","73.4","80.6","80.6","80.6","80.6"
"26","80.6","80.6","73.4","73.4","73.4","73.4","77","73.4","80.6","80.6","80.6","80.6"
