"sampleTime","1","2","3","4","5","6","7","8","9","10","11","12"
"1","1","0","1","0","0","1","0","0","1","0","1","0"
"2","2","0","2","0","0","2","0","1","2","0","2","0"
"3","3","0","3","1","0","3","0","2","3","0","3","0"
"4","4","0","4","2","0","4","0","3","4","0","4","0"
"5","4","0","4","3","0","4","0","4","4","0","4","0"
"6","4","1","4","4","0","4","0","4","4","1","4","0"
"7","3","2","3","4","0","3","0","4","3","2","3","0"
"8","2","3","2","4","0","2","0","3","2","3","2","0"
"9","1","4","1","3","1","1","0","2","1","4","1","0"
"10","0","4","0","2","2","0","0","1","0","4","0","0"
"11","0","4","0","1","3","0","0","0","0","4","-1","0"
"12","0","3","0","0","4","0","0","0","0","3","-1","0"
"13","0","2","0","-1","4","0","1","0","0","2","-1","0"
"14","0","1","0","-1","4","0","2","0","0","1","-1","1"
"15","0","0","0","-1","3","0","3","0","0","0","-1","2"
"16","1","0","0","-1","2","0","4","0","1","0","-1","3"
"17","2","0","0","-1","1","0","4","0","2","0","-1","4"
"18","3","0","0","-1","0","0","4","0","3","0","-1","4"
"19","4","0","-1","-1","0","0","3","0","4","0","-1","4"
"20","4","0","-1","-1","0","0","2","0","4","0","-1","3"
"21","4","0","-1","-1","0","0","1","0","4","0","-1","2"
"22","3","0","-1","0","0","0","0","0","3","0","-1","1"
"23","2","0","-1","0","0","0","0","0","2","0","0","0"
"24","1","0","-1","0","0","0","0","0","1","0","0","0"
"25","0","0","-1","0","0","0","0","0","0","0","0","0"
"26","0","0","-1","0","0","0","0","0","0","0","0","0"
"27","0","0","-1","0","0","1","0","0","0","0","0","-1"
"28","0","0","-1","0","0","2","0","0","0","0","0","-1"
"29","-1","0","-1","-1","0","3","0","0","0","0","0","-1"
"30","-1","0","-1","-1","0","4","0","0","0","0","0","0"
"31","-1","0","-1","-1","1","4","0","0","0","1","1","0"
"32","-1","0","0","-1","2","4","0","0","0","2","2","0"
"33","-1","0","0","-1","3","3","0","0","0","3","3","0"
"34","-1","0","0","-1","4","2","0","0","0","4","4","0"
"35","-1","0","0","-1","4","1","1","0","-1","4","4","0"
"36","-1","0","0","-1","4","0","2","0","-1","4","4","0"
