"sampleTime","1","2","3","4","5","6","7","8","9","10","11","12"
"1","-1","0","0","1","0","0","1","1","0","0","1","-1"
"2","-1","0","0","2","0","0","2","2","0","1","2","-1"
"3","-1","0","0","3","0","0","3","3","-1","2","3","-1"
"4","0","0","0","4","0","1","4","4","-1","3","4","-1"
"5","0","0","0","4","0","2","4","4","-1","4","4","-1"
"6","0","1","0","4","-1","3","4","4","0","4","4","-1"
"7","1","2","0","3","-1","4","3","3","0","4","3","-1"
"8","2","3","0","2","-1","4","2","2","0","3","2","-1"
"9","3","4","0","1","-1","4","1","1","0","2","1","-1"
"10","4","4","0","0","-1","3","0","0","1","1","0","0"
"11","4","4","0","0","-1","2","0","0","2","0","0","0"
"12","4","3","0","0","0","1","0","0","3","0","0","0"
"13","3","2","0","0","0","0","0","0","4","0","0","0"
"14","2","1","0","0","0","0","0","0","4","0","0","0"
"15","1","0","0","0","0","0","0","0","4","0","0","0"
"16","0","0","0","0","0","0","0","0","3","0","0","0"
"17","0","0","0","0","0","0","0","0","2","0","0","0"
"18","0","0","0","0","0","0","0","0","1","0","0","0"
"19","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0","0","1","0","0","1","0","0","0","0","0","0"
"21","0","-1","2","-1","0","2","0","-1","0","0","0","0"
"22","0","-1","3","-1","0","3","0","-1","0","0","0","0"
"23","0","-1","4","-1","1","4","0","-1","1","0","0","0"
"24","0","-1","4","-1","2","4","0","-1","2","0","0","1"
"25","0","-1","4","-1","3","4","0","-1","3","0","0","2"
"26","0","-1","3","-1","4","3","0","-1","4","0","0","3"
"27","0","-1","2","0","4","2","0","-1","4","0","1","4"
"28","0","-1","1","0","4","1","1","-1","4","0","2","4"
"29","1","-1","0","0","3","0","2","-1","3","0","3","4"
"30","2","-1","0","0","2","0","3","-1","2","0","4","3"
"31","3","-1","0","0","1","0","4","-1","1","0","4","2"
"32","4","-1","0","0","0","0","4","-1","0","0","4","1"
"33","4","0","0","0","0","0","4","0","0","0","3","0"
"34","4","0","0","0","0","0","3","0","0","0","2","0"
"35","3","0","0","0","0","0","2","0","0","0","1","0"
"36","2","0","0","0","0","0","1","0","0","0","0","0"
"37","1","0","0","0","0","0","0","0","0","0","0","0"
"38","0","0","0","0","0","0","0","0","0","0","0","0"
"39","0","0","1","0","0","1","0","0","0","0","0","0"
"40","0","1","2","0","0","2","0","0","0","1","0","0"
"41","0","2","3","0","0","3","0","0","0","2","0","0"
"42","0","3","4","0","0","4","0","0","0","3","0","0"
"43","0","4","4","0","0","4","0","0","0","4","0","0"
"44","0","4","4","0","0","4","0","0","0","4","0","1"
"45","0","4","3","0","0","3","0","0","0","4","0","2"
"46","0","3","2","0","0","2","0","0","0","3","0","3"
"47","0","2","1","0","0","1","0","0","0","2","0","4"
"48","-1","1","0","0","0","0","0","0","0","1","-1","4"
"49","-1","0","0","0","0","0","0","0","0","0","-1","4"
"50","-1","0","0","0","0","0","0","0","0","0","-1","3"
"51","-1","0","0","0","0","0","1","1","0","0","-1","2"
"52","-1","0","0","0","0","0","2","2","0","0","-1","1"
"53","-1","1","0","0","0","0","3","3","0","0","-1","0"
"54","-1","2","0","0","1","0","4","4","0","0","-1","0"
"55","-1","3","0","0","2","0","4","4","0","0","-1","0"
"56","-1","4","1","0","3","0","4","4","-1","0","-1","0"
"57","0","4","2","1","4","0","3","3","-1","0","0","0"
"58","0","4","3","2","4","0","2","2","-1","0","0","0"
"59","0","3","4","3","4","0","1","1","-1","-1","0","0"
"60","0","2","4","4","3","0","0","0","-1","-1","0","0"
"61","0","1","4","4","2","0","0","0","-1","-1","0","0"
"62","0","0","3","4","1","1","0","0","-1","-1","0","0"
"63","0","0","2","3","0","2","0","0","-1","-1","0","0"
"64","1","0","1","2","0","3","0","0","-1","-1","0","0"
"65","2","0","0","1","0","4","0","0","-1","0","0","0"
"66","3","0","0","0","0","4","-1","0","-1","0","0","0"
"67","4","0","0","0","0","4","-1","0","-1","0","0","0"
"68","4","0","0","0","0","3","-1","0","-1","0","0","0"
"69","4","0","0","0","0","2","-1","0","-1","0","0","0"
"70","3","1","-1","0","0","1","-1","0","-1","0","0","0"
"71","2","2","-1","0","0","0","-1","0","0","0","0","0"
"72","1","3","-1","0","0","0","0","0","0","0","1","0"
"73","0","4","-1","0","0","0","0","0","0","0","2","0"
"74","0","4","-1","-1","0","0","0","0","0","0","3","0"
"75","0","4","-1","-1","0","0","0","0","0","0","4","0"
"76","0","3","-1","-1","0","0","0","0","0","0","4","0"
"77","0","2","-1","-1","0","0","0","0","0","0","4","0"
"78","0","1","-1","-1","0","0","0","-1","0","0","3","0"
"79","0","0","-1","-1","0","0","0","-1","0","0","2","0"
"80","0","0","-1","0","0","-1","0","-1","0","0","1","0"
"81","0","0","-1","0","0","-1","0","-1","0","0","0","0"
"82","0","0","0","0","1","-1","0","-1","0","0","0","0"
"83","0","0","0","0","2","-1","0","-1","0","1","0","0"
"84","0","0","0","0","3","-1","0","0","0","2","0","1"
