"timeBlock","day1_powerConsumption","day2_powerConsumption","day3_powerConsumption","day4_powerConsumption","day5_powerConsumption","day6_powerConsumption","day7_powerConsumption","day8_powerConsumption","day9_powerConsumption","day10_powerConsumption","day11_powerConsumption","day12_powerConsumption"
"0","0.5756","0.5756","0.5756","0.5756","0.5756","0.7481","0.6332","0.5756","0.5756","0.5756","1.223","0.5756"
"1","0.5756","0.8513999999999999","0.5756","0.5756","0.5756","0.7649","0.8444","0.5756","0.5756","0.5756","0.6812","0.5756"
"2","0.5756","0.6938","0.5756","0.8766","0.5756","0.85","0.6332","0.5756","0.5756","0.5756","0.6173","0.5756"
"3","0.5756","0.5756","0.7706","0.7046","0.5756","0.654","0.5756","0.5756","0.5756","0.5756","0.8172","0.5756"
"4","0.5756","0.5756","0.7901","0.5756","0.5756","0.5756","0.5756","0.7016","0.7388","0.5756","0.7046","0.5756"
"5","0.5756","0.5756","0.5756","0.5756","0.5756","0.5756","0.5756","0.8276","0.8408","0.6914","0.8458","0.6488"
"6","0.5756","0.5756","0.5756","0.7261","0.5756","0.5756","0.8251999999999999","0.5756","0.5756","0.8458","0.7107","0.8318"
"7","0.8318","0.6347","0.5756","0.8766","0.5756","0.5756","0.7292","0.5756","0.5756","0.5756","0.5756","0.6122"
"8","0.7037","0.8513999999999999","0.8486","0.5756","0.7004","0.5756","0.5756","0.5756","0.5756","0.5756","0.5756","0.5756"
"9","0.5756","0.6347","0.6926","0.5756","0.8668","0.5756","0.5756","0.6656","0.8408","0.5756","0.5756","0.5756"
"10","0.5756","0.5756","0.5756","0.5756","0.5756","0.7128","0.5756","0.8276","0.7388","0.6721","0.5756","0.6854"
"11","0.5756","0.5756","0.5756","0.5756","0.5756","0.85","0.5756","0.5936","0.5756","0.8458","0.5756","0.8318"
"12","0.5756","0.5756","0.6536","0.8766","0.5756","0.5756","0.5756","0.5756","0.5756","0.5949","0.8072","0.5756"
"13","0.6305000000000001","0.7923","0.8486","0.7046","0.5756","0.5756","0.5756","0.5756","0.5756","0.5756","0.7493","0.5756"
"14","0.8318","0.7726","0.6146","0.5756","0.5756","0.5756","0.5756","0.5756","0.596","0.5756","0.5756","0.5756"
"15","0.6305000000000001","0.5756","0.5756","1.1441","0.6796","0.5756","0.7292","0.7916","0.8612","0.5756","0.5756","0.8135"
"16","0.5756","0.5756","0.5756","0.7476","0.8668","0.5756","0.8251999999999999","0.7376","0.6776","0.5756","0.5756","0.722"
"17","0.5756","0.5756","0.5951","0.8551","0.5964","0.5756","0.5756","0.5756","0.5756","0.7879","0.5756","0.5756"
"18","0.6671","0.7726","0.8486","0.5756","0.5756","0.5756","0.5756","0.5756","0.5756","0.7686","0.5949","0.5756"
"19","0.8318","0.7923","0.6731","0.5756","0.5756","0.6736","0.5756","0.5756","0.5756","0.5756","0.8458","0.7037"
"20","0.5939","0.5756","0.5756","0.5756","0.5756","0.85","0.5756","0.5756","0.5756","0.5756","0.6721","0.8318"
"21","0.5756","0.5756","0.5756","0.8336","0.7836","0.5952","0.8444","0.8276","0.5756","0.5756","0.5756","0.5756"
"22","0.5756","0.5756","0.5756","0.7691","0.8044","0.5756","0.6908","0.6836","0.8612","0.5756","0.5756","0.5756"
"23","0.5756","0.7135","0.5756","0.5756","0.5756","0.5756","0.5756","0.5756","0.698","0.5756","0.6528","0.5756"
"24","0.7403","0.8513999999999999","0.5756","0.5756","0.5756","0.7323999999999999","0.5756","0.5756","0.5756","0.6914","0.8458","0.7403"
"25","0.7952","0.5756","0.7511","1.1348","1.2032","0.8304","0.5756","0.5756","0.5756","0.8458","0.6142","0.7952"
"26","0.5756","0.5756","0.8096","0.7209","1.4429","0.5756","0.6908","0.8276","0.5756","0.5756","0.5756","0.5756"
"27","0.5756","0.5756","0.5756","1.1454","0.9362","0.5756","1.2222","0.7016","0.6776","1.1873","0.5756","0.5756"
"28","0.5756","0.5756","0.5756","0.8529","0.7282","0.7168","0.5756","0.5756","0.8612","0.5756","0.5756","0.5756"
