"sampleTime","1","2","3","4","5","6","7","8","9","10","11","12"
"1","0","1","0","1","0","1","0","0","1","-1","0","-1"
"2","0","2","1","2","0","2","0","0","2","-1","0","-1"
"3","0","3","2","3","0","3","0","0","3","-1","-1","-1"
"4","0","4","3","4","1","4","0","0","4","-1","-1","0"
"5","0","4","4","4","2","4","0","0","4","-1","-1","0"
"6","-1","4","4","4","3","4","1","0","4","-1","0","0"
"7","-1","3","4","3","4","3","2","0","3","-1","0","1"
"8","-1","2","3","2","4","2","3","0","2","-1","0","2"
"9","-1","1","2","1","4","1","4","0","1","-1","0","3"
"10","-1","0","1","0","3","0","4","0","0","0","1","4"
"11","-1","0","0","0","2","0","4","0","0","0","2","4"
"12","0","0","0","0","1","0","3","0","0","0","3","4"
"13","0","0","0","0","0","0","2","0","0","0","4","3"
"14","0","0","0","0","0","0","1","0","0","0","4","2"
"15","0","0","0","0","0","0","0","0","0","0","4","1"
"16","0","0","0","0","0","0","0","0","0","0","3","0"
"17","0","0","0","0","0","0","0","0","0","0","2","0"
"18","0","0","0","0","0","0","0","0","0","0","1","0"
"19","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0","0","0","0","1","0","0","1","0","0","0","0"
"21","0","-1","0","-1","2","0","-1","2","0","0","0","0"
"22","0","-1","0","-1","3","0","-1","3","0","0","0","0"
"23","1","-1","0","-1","4","0","-1","4","0","0","1","0"
"24","2","-1","0","-1","4","0","-1","4","0","1","2","0"
"25","3","-1","0","-1","4","0","-1","4","0","2","3","0"
"26","4","-1","0","-1","3","0","-1","3","0","3","4","0"
"27","4","0","0","-1","2","0","-1","2","1","4","4","0"
"28","4","0","0","-1","1","1","-1","1","2","4","4","0"
"29","3","0","0","-1","0","2","-1","0","3","4","3","1"
"30","2","0","0","-1","0","3","-1","0","4","3","2","2"
"31","1","0","0","-1","0","4","-1","0","4","2","1","3"
"32","0","0","0","-1","0","4","-1","0","4","1","0","4"
"33","0","0","0","0","0","4","0","0","3","0","0","4"
"34","0","0","0","0","0","3","0","0","2","0","0","4"
"35","0","0","0","0","0","2","0","0","1","0","0","3"
"36","0","0","0","0","0","1","0","0","0","0","0","2"
"37","0","0","0","0","0","0","0","0","0","0","0","1"
"38","0","0","0","0","0","0","0","0","0","0","0","0"
"39","0","0","0","0","1","0","0","1","0","0","0","0"
"40","0","0","1","0","2","0","1","2","0","0","0","0"
"41","0","0","2","0","3","0","2","3","0","0","0","0"
