"timeBlock","Jan","Feb","Mar","Apr","May","Jun","July","Aug","Sep","Oct","Nov","Dcb"
"0","77","77","77","77","77","77","77","77","77","77","77","77"
"1","77","77","77","77","77","77","77","77","77","77","77","77"
"2","77","77","77","77","77","77","77","77","77","77","77","77"
"3","77","77","77","77","77","77","77","77","77","77","77","77"
"4","77","77","77","77","77","80.6","77","77","77","77","77","77"
"5","77","77","77","77","77","80.6","77","77","77","77","77","77"
"6","77","77","77","77","77","80.6","77","77","77","77","77","77"
"7","77","77","77","77","77","80.6","77","77","77","77","77","77"
"8","77","77","77","77","77","80.6","77","77","77","77","77","77"
"9","77","77","77","77","77","80.6","77","77","77","77","77","77"
"10","77","77","77","77","77","80.6","77","77","77","77","77","77"
"11","77","77","77","77","77","80.6","77","77","77","77","77","77"
"12","77","77","77","77","77","80.6","77","77","77","77","77","77"
"13","77","77","77","77","77","80.6","77","77","77","77","77","77"
"14","77","77","77","77","77","80.6","77","77","77","77","77","77"
"15","77","77","77","77","77","80.6","77","77","77","77","77","77"
"16","77","77","77","77","77","80.6","77","77","77","77","77","77"
"17","77","77","77","77","77","80.6","77","77","77","77","77","77"
"18","77","77","77","77","77","80.6","77","77","77","77","77","77"
"19","77","77","77","77","77","80.6","77","77","77","77","77","77"
"20","80.6","80.6","80.6","80.6","80.6","80.6","77","80.6","80.6","80.6","80.6","80.6"
"21","80.6","80.6","80.6","80.6","80.6","80.6","77","80.6","80.6","80.6","80.6","80.6"
"22","80.6","80.6","80.6","80.6","80.6","80.6","77","80.6","80.6","80.6","80.6","80.6"
"23","80.6","80.6","80.6","80.6","80.6","80.6","77","80.6","80.6","80.6","80.6","80.6"
"24","80.6","80.6","80.6","80.6","80.6","80.6","77","80.6","80.6","80.6","80.6","80.6"
"25","80.6","80.6","80.6","80.6","80.6","80.6","77","80.6","80.6","80.6","80.6","80.6"
"26","80.6","80.6","80.6","80.6","80.6","80.6","77","80.6","80.6","80.6","80.6","80.6"
"27","80.6","80.6","80.6","80.6","80.6","80.6","77","80.6","80.6","80.6","80.6","80.6"
